结构方式,例字,间架比例,代码
独体结构,米、不,方正,D0
镶嵌结构,爽,方正,D1
品字形结构,晶、众,各部分相同,A0
上下结构,,上下结构,B0
上下结构,录、华,上下相等,B1
上下结构,它、花,上小下大,B2
上下结构,基、想,上大下小,B3
田字结构,叕、茻,四部分相同,B4
上中下结构,,上中下结构,E0
上中下结构,意、翼,上中下相等,E1
上中下结构,量、裹,上中下不等,E2
左右结构,,左右结构,H0
左右结构,羽、联,左右相等,H1
左右结构,伟、搞,左窄右宽,H2
左右结构,刚、郭,左宽右窄,H3
左中右结构,,左中右结构,M0
左中右结构,街、掰,左中右相等,M1
左中右结构,辩、傲,左中右不等,M2
全包围结构,圆、国,全包围,Q0
半包围结构,,半包围结构,R0
半包围结构,匠、区,左包右,R1
半包围结构,历、尾,左上包右下,R2
半包围结构,勾、句,右上包左下,R3
半包围结构,遍、廷,左下包右上,R4
半包围结构,冈、闲,上包下,R5
半包围结构,函、凶,下包上,R6
